Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
opal-dream-pendant,Opal Dream Pendant,"<p>Opalescent oval pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1878,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1878.jpg,1,Opalescent oval pendant,draft
opal-dream-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2072.jpeg,2,Opal dream pendant view 2,
opal-dream-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2073.jpeg,3,Opal dream pendant view 3,
opal-dream-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2074.jpeg,4,Opal dream pendant view 4,
purple-moon-pendant,Purple Moon Pendant,"<p>Purple glitter circle pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1879,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1879.jpg,1,Purple glitter circle pendant,draft
purple-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2075.jpeg,2,Purple confetti pendant view 2,
purple-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2076.jpeg,3,Purple confetti pendant view 3,
purple-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2077.jpeg,4,Purple confetti pendant view 4,
purple-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2078.jpeg,5,Purple confetti pendant view 5,
red-heart-pendant,Red Heart Pendant,"<p>Red heart pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1881,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1881.jpg,1,Red heart pendant,draft
red-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2083.jpeg,2,Red heart pendant view 2,
red-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2084.jpeg,3,Red heart pendant view 3,
silver-moon-pendant,Silver Moon Pendant,"<p>Silver and black bubble oval pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1887,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1887.jpg,1,Silver and black bubble oval pendant,draft
silver-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2085.jpeg,2,Silver bubble pendant view 2,
silver-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2086.jpeg,3,Silver bubble pendant view 3,
silver-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2087.jpeg,4,Silver bubble pendant view 4,
blue-moon-pendant,Blue Moon Pendant,"<p>Blue oval pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1899,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1899.jpg,1,Blue oval pendant,draft
blue-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2088.jpeg,2,Ocean blue pendant view 2,
blue-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2089.jpeg,3,Ocean blue pendant view 3,
blue-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2090.jpeg,4,Ocean blue pendant view 4,
blue-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2092.jpeg,5,Ocean blue pendant view 5,
blue-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2093.jpeg,6,Ocean blue pendant view 6,
periwinkle-pendant,Periwinkle Pendant,"<p>Periwinkle circle pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1900,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1900.jpg,1,Periwinkle circle pendant,draft
periwinkle-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2094.jpeg,2,Periwinkle pendant view 2,
periwinkle-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2095.jpeg,3,Periwinkle pendant view 3,
periwinkle-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2096.jpeg,4,Periwinkle pendant view 4,
mermaid-oval-pendant,Mermaid Oval Pendant,"<p>Teal iridescent oval pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1901,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1901.jpg,1,Teal iridescent oval pendant,draft
mermaid-oval-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2097.jpeg,2,Mermaid oval pendant view 2,
mermaid-oval-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2098.jpeg,3,Mermaid oval pendant view 3,
mermaid-oval-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2099.jpeg,4,Mermaid oval pendant view 4,
pink-rose-heart-pendant,Pink Rose Heart Pendant,"<p>Pink rose heart pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1903,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1903.jpg,1,Pink rose heart pendant,draft
pink-rose-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2100.jpeg,2,Pink rose heart pendant view 2,
pink-rose-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2101.jpeg,3,Pink rose heart pendant view 3,
pink-rose-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2102.jpeg,4,Pink rose heart pendant view 4,
encapsulated-rose-pendant,Encapsulated Rose Pendant,"<p>Clear ball with red rose pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1904,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1904.jpg,1,Clear ball with red rose pendant,draft
encapsulated-rose-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2103.jpeg,2,Encapsulated rose pendant view 2,
encapsulated-rose-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2104.jpeg,3,Encapsulated rose pendant view 3,
encapsulated-rose-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2105.jpeg,4,Encapsulated rose pendant view 4,
encapsulated-rose-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2106.jpeg,5,Encapsulated rose pendant view 5,
amber-heart-pendant,Amber Heart Pendant,"<p>Amber heart pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1905,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1905.jpg,1,Amber heart pendant,draft
amber-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2225.jpeg,2,Amber heart pendant view 2,
amber-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2226.jpeg,3,Amber heart pendant view 3,
amber-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2227.jpeg,4,Amber heart pendant view 4,
galaxy-swirl-pendant,Galaxy Swirl Pendant,"<p>Blue purple swirl oval pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1907,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1907.jpg,1,Blue purple swirl oval pendant,draft
galaxy-swirl-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2220.jpeg,2,Galaxy swirl pendant view 2,
galaxy-swirl-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2221.jpeg,3,Galaxy swirl pendant view 3,
galaxy-swirl-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2222.jpeg,4,Galaxy swirl pendant view 4,
galaxy-swirl-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2223.jpeg,5,Galaxy swirl pendant view 5,
swirly-mist-pendant,Swirly Mist Pendant,"<p>Blue purple oval pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1908,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1908.jpg,1,Blue purple oval pendant,draft
swirly-mist-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2107.jpeg,2,Twilight oval pendant view 2,
swirly-mist-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2108.jpeg,3,Twilight oval pendant view 3,
sky-blue-holographic-pendant,Sky Blue Holographic Pendant,"<p>Blue circle pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1909,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1909.jpg,1,Blue circle pendant,draft
sky-blue-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2110.jpeg,2,Sky blue circle pendant view 2,
sky-blue-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2111.jpeg,3,Sky blue circle pendant view 3,
lavender-holographic-pendant,Lavender Holographic Pendant,"<p>Lavender oval pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1910,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1910.jpg,1,Lavender oval pendant,draft
lavender-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2112.jpeg,2,Lavender floral pendant view 2,
lavender-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2113.jpeg,3,Lavender floral pendant view 3,
lavender-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2114.jpeg,4,Lavender floral pendant view 4,
lavender-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2115.jpeg,5,Lavender floral pendant view 5,
teal-holographic-pendant,Teal Holographic Pendant,"<p>Large teal green oval pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1911,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1911.jpg,1,Large teal green oval pendant,draft
teal-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2116.jpeg,2,Teal wave pendant view 2,
teal-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2117.jpeg,3,Teal wave pendant view 3,
teal-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2118.jpeg,4,Teal wave pendant view 4,
teal-holographic-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2119.jpeg,5,Teal wave pendant view 5,
glow-skull-pendant,Glow Skull Pendant,"<p>Glow skull pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>
<p>✨ Glows in the dark!</p>",We're Cured!,,Pendant,"Jewelry, Pendants, Glow in the dark",FALSE,Title,Default Title,WC-2166,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2166.jpeg,1,Glow skull pendant,draft
glow-skull-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_1987.jpeg,2,Glow-in-the-dark skull pendant,
glow-skull-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2167.jpeg,3,Glow skull pendant view 2,
glow-skull-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2168.jpeg,4,Glow skull pendant view 3,
glow-skull-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2169.jpeg,5,Glow skull pendant view 4,
gold-bubble-heart-pendant,Gold Bubble Heart Pendant,"<p>Gold bubble heart pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2125,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2125.jpeg,1,Gold bubble heart pendant,draft
gold-bubble-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2120.jpeg,2,Gold bubble heart view 2,
gold-bubble-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2121.jpeg,3,Gold bubble heart view 3,
gold-bubble-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2123.jpeg,4,Gold bubble heart view 4,
gold-bubble-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2124.jpeg,5,Gold bubble heart view 5,
cherry-blossom-tree-pendant,Cherry Blossom Tree Pendant,"<p>Cherry blossom tree pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2126,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2126.jpeg,1,Cherry blossom tree pendant,draft
cherry-blossom-tree-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2127.jpeg,2,Cherry blossom tree pendant view 2,
cherry-blossom-tree-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2128.jpeg,3,Cherry blossom tree pendant view 3,
bronze-bubble-heart-pendant,Bronze Bubble Heart Pendant,"<p>Bronze bubble heart pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2129,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2129.jpeg,1,Bronze bubble heart pendant,draft
bronze-bubble-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2130.jpeg,2,Bronze bubble heart view 2,
bronze-bubble-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2131.jpeg,3,Bronze bubble heart view 3,
bronze-bubble-heart-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2132.jpeg,4,Bronze bubble heart view 4,
blue-larimar-teardrop,Blue Larimar Teardrop,"<p>Blue teardrop pendant with dark spot pattern.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2133,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2133.jpeg,1,Blue teardrop pendant with dark spot pattern,draft
blue-larimar-teardrop,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2134.jpeg,2,Blue larimar teardrop view 2,
blue-larimar-teardrop,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2135.jpeg,3,Blue larimar teardrop view 3,
cosmic-glitter-triangle,Cosmic Glitter Triangle,"<p>Blue purple sparkle triangle pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2136,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2136.jpeg,1,Blue purple sparkle triangle pendant,draft
cosmic-glitter-triangle,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2137.jpeg,2,Cosmic glitter triangle view 2,
cosmic-glitter-triangle,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2138.jpeg,3,Cosmic glitter triangle view 3,
cosmic-glitter-triangle,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2139.jpeg,4,Cosmic glitter triangle view 4,
cobalt-foil-oval,Cobalt Foil Oval,"<p>Cobalt blue oval pendant with silver foil.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2140,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2140.jpeg,1,Cobalt blue oval pendant with silver foil,draft
cobalt-foil-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2141.jpeg,2,Cobalt foil oval view 2,
cobalt-foil-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2142.jpeg,3,Cobalt foil oval view 3,
dark-coral-branch-oval,Dark Coral Branch Oval,"<p>Dark oval pendant with branching coral pattern.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2143,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2143.jpeg,1,Dark oval pendant with branching coral pattern,draft
dark-coral-branch-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2144.jpeg,2,Dark coral branch oval view 2,
dark-coral-branch-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2145.jpeg,3,Dark coral branch oval view 3,
dark-coral-branch-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2146.jpeg,4,Dark coral branch oval view 4,
silver-void-heart,Silver Void Heart,"<p>Silver void heart pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2149,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2149.jpeg,1,Silver void heart pendant,draft
silver-void-heart,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2147.jpeg,2,Silver void heart view 2,
silver-void-heart,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2148.jpeg,3,Silver void heart view 3,
blue-sky-circle,Blue Sky Circle,"<p>Round blue sky pendant with white clouds.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2150,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2150.jpeg,1,Round blue sky pendant with white clouds,draft
blue-sky-circle,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2151.jpeg,2,Blue sky circle view 2,
blue-sky-circle,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2152.jpeg,3,Blue sky circle view 3,
sea-turtle-circle,Sea Turtle Circle,"<p>Round blue pendant with sea turtle and seaweed.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2153,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2153.jpeg,1,Round blue pendant with sea turtle and seaweed,draft
sea-turtle-circle,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2154.jpeg,2,Sea turtle circle view 2,
sea-turtle-circle,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2155.jpeg,3,Sea turtle circle view 3,
purple-scallop-pendant,Purple Scallop Pendant,"<p>Round pendant with blue geode border and purple scallop shell.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2156,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2156.jpeg,1,Round pendant with blue geode border and purple scallop shell,draft
purple-scallop-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2157.jpeg,2,Purple scallop pendant view 2,
purple-scallop-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2158.jpeg,3,Purple scallop pendant view 3,
starfish-oval,Starfish Oval,"<p>Teal oval pendant with holographic starfish.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2159,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2159.jpeg,1,Teal oval pendant with holographic starfish,draft
starfish-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2160.jpeg,2,Starfish oval view 2,
starfish-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2161.jpeg,3,Starfish oval view 3,
crimson-swirl-oval,Crimson Swirl Oval,"<p>Oval pendant with crimson and purple abstract swirl.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-2162,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_2162.jpeg,1,Oval pendant with crimson and purple abstract swirl,draft
crimson-swirl-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2163.jpeg,2,Crimson swirl oval view 2,
crimson-swirl-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2164.jpeg,3,Crimson swirl oval view 3,
crimson-swirl-oval,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2165.jpeg,4,Crimson swirl oval view 4,
red-heart-set,Red Heart Set,"<p>Red heart earrings with matching pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Earrings,"Jewelry, Earrings",FALSE,Title,Default Title,WC-1880,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1880.jpg,1,Red heart earrings with matching pendant,draft
red-heart-set,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2079.jpeg,2,Red heart set view 2,
red-heart-set,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2080.jpeg,3,Red heart set view 3,
red-heart-set,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2081.jpeg,4,Red heart set view 4,
red-heart-set,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2082.jpeg,5,Red heart set view 5,
honey-bee-earrings,Honey Bee Earrings,"<p>Gold flower earring.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Earrings,"Jewelry, Earrings",FALSE,Title,Default Title,WC-1912,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1912.jpg,1,Gold flower earring,draft
honey-bee-earrings,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2178.jpeg,2,Gold flower earrings view 2,
honey-bee-earrings,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2179.jpeg,3,Gold flower earrings view 3,
ember-circle-earrings,Ember Circle Earrings,"<p>Red orange round earring.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Earrings,"Jewelry, Earrings",FALSE,Title,Default Title,WC-1913,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1913.jpg,1,Red orange round earring,draft
ember-circle-earrings,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2180.jpeg,2,Ember circle earrings view 2,
ember-circle-earrings,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2181.jpeg,3,Ember circle earrings view 3,
ember-circle-earrings,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2182.jpeg,4,Ember circle earrings view 4,
