Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
winter-blossom,Winter Blossom — Set of 4,"<p>A set of 4 handmade resin coasters — soft white-and-cream blooms with silver and gold flecks. Elegant year-round, and especially lovely at the festive table.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3708,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/winter-blossom-1.jpeg,1,Winter Blossom — Set of 4,draft
winter-blossom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/winter-blossom-2.jpeg,2,Winter Blossom — Set of 4,
winter-blossom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/winter-blossom-3.jpeg,3,Winter Blossom — Set of 4,
winter-blossom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/winter-blossom-4.jpeg,4,Winter Blossom — Set of 4,
winter-blossom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/winter-blossom-5.jpeg,5,Winter Blossom — Set of 4,
winter-blossom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/winter-blossom-6.jpeg,6,Winter Blossom — Set of 4,
copper-galaxy,Copper Galaxy — Set of 4,"<p>A set of 4 handmade resin coasters with deep navy-blue and copper-flecked sparkle, like a galaxy set in crystal.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3711,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/copper-galaxy-1.jpeg,1,Copper Galaxy — Set of 4,draft
copper-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-galaxy-2.jpeg,2,Copper Galaxy — Set of 4,
copper-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-galaxy-3.jpeg,3,Copper Galaxy — Set of 4,
copper-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-galaxy-4.jpeg,4,Copper Galaxy — Set of 4,
copper-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-galaxy-5.jpeg,5,Copper Galaxy — Set of 4,
copper-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-galaxy-6.jpeg,6,Copper Galaxy — Set of 4,
copper-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-galaxy-7.jpeg,7,Copper Galaxy — Set of 4,
amethyst-lightning,Amethyst Lightning — Set of 4,"<p>A set of 4 handmade resin coasters in rich violet with dramatic black lightning-crackle veining.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3717,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/amethyst-lightning-1.jpeg,1,Amethyst Lightning — Set of 4,draft
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-2.jpeg,2,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-3.jpeg,3,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-4.jpeg,4,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-5.jpeg,5,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-6.jpeg,6,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-7.jpeg,7,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-8.jpeg,8,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-9.jpeg,9,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-10.jpeg,10,Amethyst Lightning — Set of 4,
amethyst-lightning,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-lightning-11.jpeg,11,Amethyst Lightning — Set of 4,
ruby-ember,Ruby Ember — Set of 4,"<p>A set of 4 handmade resin coasters in glowing raspberry-red agate with smoky, gold-touched centres.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3721,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/ruby-ember-1.jpeg,1,Ruby Ember — Set of 4,draft
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-2.jpeg,2,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-3.jpeg,3,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-4.jpeg,4,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-5.jpeg,5,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-6.jpeg,6,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-7.jpeg,7,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-8.jpeg,8,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-9.jpeg,9,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-10.jpeg,10,Ruby Ember — Set of 4,
ruby-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/ruby-ember-11.jpeg,11,Ruby Ember — Set of 4,
gilded-ember,Gilded Ember — Reversible Set of 4,"<p>A reversible set of 4 handmade resin coasters — one side a dramatic gold rock-candy rim with a gold-leaf centre, the other a warm red poppy. Two looks in one.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3727,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/gilded-ember-1.jpeg,1,Gilded Ember — Reversible Set of 4,draft
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-2.jpeg,2,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-3.jpeg,3,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-4.jpeg,4,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-5.jpeg,5,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-6.jpeg,6,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-7.jpeg,7,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-8.jpeg,8,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-9.jpeg,9,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-10.jpeg,10,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-11.jpeg,11,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-12.jpeg,12,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-13.jpeg,13,Gilded Ember — Reversible Set of 4,
gilded-ember,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gilded-ember-14.jpeg,14,Gilded Ember — Reversible Set of 4,
wild-poppy,Wild Poppy — Set of 4,"<p>A set of 4 handmade resin coasters — a vivid red poppy with a dark, gold-flecked centre set in clear resin with a raw crystalline edge.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3714,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/wild-poppy-1.jpeg,1,Wild Poppy — Set of 4,draft
wild-poppy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/wild-poppy-2.jpeg,2,Wild Poppy — Set of 4,
wild-poppy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/wild-poppy-3.jpeg,3,Wild Poppy — Set of 4,
wild-poppy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/wild-poppy-4.jpeg,4,Wild Poppy — Set of 4,
wild-poppy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/wild-poppy-5.jpeg,5,Wild Poppy — Set of 4,
